city,address,x,y,technology,parsedAddress,parsedLon,parsedLat
Київ,"Дніпровська набережна, 13","30,5931409","50,4231507",,"13, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.593257789091812,50.42254185
Київ,"Дніпровська набережна, 3","30,5930575","50,4271216",,"3, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.593118641728008,50.4269542
Київ,"Дніпровська набережна, 5А","30,5939573","50,4256726",,"5-А, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.5939388,50.4258289
Київ,"Дніпровська набережна, 5Б","30,5949749","50,4258677",,"5-Б, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.59505227510251,50.425765150000004
Київ,"Дніпровська набережна, 7","30,5932197","50,4249643",,"7, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.593167285894488,50.42498145
Київ,"Дніпровська набережна, 7А","30,5952219","50,4250515",,"7-А, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.595143200090135,50.4250453
Київ,"Дніпровська набережна, 9А","30,5957172","50,4244206",,"9-А, Дніпровська набережна, Березняки, Дніпровський район, Київ, 02098, Україна",30.596137900000002,50.42440805
Київ,"проспект Павла Тичини, 12Б","30,5965382","50,4259528",,"12-Б, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02159, Україна",30.5965551,50.42594595
Київ,"проспект Павла Тичини, 12В","30,596293","50,4253967",,"12-В, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02159, Україна",30.596532849823177,50.4253904
Київ,"проспект Павла Тичини, 14А","30,5974236","50,4265633",,"14-А, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02159, Україна",30.59764255,50.42656745
Київ,"проспект Павла Тичини, 2","30,5935281","50,4274566",,"2, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02098, Україна",30.593599025355974,50.42733585
Київ,"проспект Павла Тичини, 4","30,5948658","50,4272769",,"4, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02098, Україна",30.594427112725704,50.42717935
Київ,"проспект Павла Тичини, 6","30,5990311","50,4267562",,"6, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02159, Україна",30.59911651863992,50.42695775
Київ,"проспект Павла Тичини, 8","30,5953137","50,4273715",,"8, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02098, Україна",30.595550697077922,50.42721005
Київ,"проспект Павла Тичини, 16/2","30,6013644","50,4266734",,"16/2, проспект Павла Тичини, Березняки, Дніпровський район, Київ, 02159, Україна",30.60103734774188,50.426931800000006
Київ,"вулиця Юрія Шумського, 4","30,5999388","50,4261278",,"4, вулиця Юрія Шумського, Березняки, Дніпровський район, Київ, 02159, Україна",30.600040952850787,50.4261286
Київ,"вулиця Юрія Шумського, 4А","30,6011163","50,4259842",,"4-А, вулиця Юрія Шумського, Березняки, Дніпровський район, Київ, 02159, Україна",30.601098485947674,50.4260091
Київ,"вулиця Юрія Шумського, 6","30,6022824","50,4251992",,"6, вулиця Юрія Шумського, Березняки, Дніпровський район, Київ, 02159, Україна",30.602184675077623,50.4254662
Київ,"вулиця Урлівська, 4А","30,6249994","50,4031906",,"4-А, Урлівська вулиця, 8-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.62506056884972,50.4032032
Київ,"вулиця Урлівська, 8","30,6236148","50,4038121",,"8, Урлівська вулиця, 8-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.623621158839907,50.403762
Київ,"вулиця Урлівська, 14","30,6225527","50,4049387",,"14, Урлівська вулиця, 8-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.622716403964294,50.404941449999995
Київ,"вулиця Анни Ахматової, 43","30,6173766","50,4046154",,"43, вулиця Анни Ахматової, 9-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.617454845483053,50.404748299999994
Київ,"проспект Петра Григоренка, 26А","30,6270292","50,4063128",,"26-А, проспект Петра Григоренка, 8-й мікрорайон, Позняки, Дарницький район, Київ, 02055, Україна",30.62639647931818,50.406384349999996
Київ,"вулиця Княжий Затон, 13","30,6223343","50,4021615",,"13, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.622234138773923,50.4018759
Київ,"вулиця Княжий Затон, 15","30,6209848","50,4017341",,"15, вулиця Княжий Затон, 10-й мікрорайон, Позняки, Дарницький район, Київ, 02095, Україна",30.621056336821788,50.401725400000004
